Date,Time,Prediction,Confidence
2026-08-31,15:18:39,REAL,64.69
2026-08-31,15:18:40,REAL,63.24
2026-08-31,15:18:41,REAL,66.79
2026-08-31,15:18:42,REAL,77.92
2026-08-31,15:18:43,REAL,73.11
2026-08-31,15:18:44,REAL,69.71
2026-08-31,15:18:45,REAL,64.31
2026-08-31,15:18:46,REAL,65.42
2026-08-31,15:18:47,REAL,61.46
2026-08-31,15:18:48,REAL,65.72
2026-08-31,15:18:49,REAL,66.99
2026-08-31,15:18:50,REAL,62.59
2026-08-31,15:18:51,REAL,66.26
2026-08-31,15:18:52,REAL,82.05
2026-08-31,15:18:53,REAL,66.86
2026-08-31,15:18:54,REAL,57.80
2026-08-31,15:20:21,REAL,77.00
2026-08-31,15:21:11,REAL,79.58
2026-08-31,19:17:43,FAKE,95.16
2026-08-31,19:17:47,FAKE,89.64
2026-08-31,19:17:48,REAL,87.49
2026-08-31,19:17:49,REAL,93.87
2026-08-31,19:17:50,REAL,95.51
2026-08-31,19:17:51,REAL,95.73
2026-08-31,19:17:52,REAL,95.41
2026-08-31,19:17:53,REAL,95.15
2026-08-31,19:17:54,REAL,95.15
2026-08-31,19:17:55,REAL,86.94
2026-08-31,19:17:56,UNCERTAIN,53.70
2026-08-31,19:17:57,UNCERTAIN,61.58
2026-08-31,19:17:58,REAL,91.34
2026-08-31,19:17:59,REAL,95.23
2026-08-31,19:18:00,REAL,95.93
2026-08-31,19:18:01,REAL,96.41
2026-08-31,19:18:02,REAL,96.55
2026-08-31,19:18:03,REAL,96.67
2026-08-31,19:18:04,REAL,96.82
2026-08-31,19:18:05,REAL,96.58
2026-08-31,19:18:06,REAL,96.28
2026-08-31,19:18:07,REAL,95.68
2026-08-31,19:18:08,REAL,95.36
2026-08-31,19:18:09,REAL,95.62
2026-08-31,19:18:10,REAL,95.93
2026-08-31,19:18:11,REAL,95.91
2026-08-31,19:18:12,REAL,95.33
2026-08-31,19:18:13,REAL,95.97
2026-08-31,19:18:14,REAL,95.32
2026-08-31,19:18:15,REAL,95.09
2026-08-31,19:18:16,REAL,95.08
2026-08-31,19:18:17,REAL,95.75
2026-08-31,19:18:18,REAL,95.96
2026-08-31,19:18:19,REAL,96.05
2026-08-31,19:18:20,REAL,95.97
2026-08-31,19:18:21,REAL,95.88
2026-08-31,19:18:22,REAL,95.72
2026-08-31,19:18:23,REAL,95.83
2026-08-31,19:18:24,REAL,96.27
2026-08-31,19:18:25,REAL,96.23
2026-08-31,19:18:26,REAL,95.97
2026-08-31,19:18:27,REAL,95.78
